Code,NameEnglish,Notes,Reports,Latitude,Longitude
4620,Tel Aviv HaHagana,Busy,17,31.7881805,35.2024441
5400,Yavne East,"Bridge, Taxi",77,32.1120646,34.90129706
2960,Ra'anana South,,63,32.8622708,35.1223181
2940,Ra'anana West,"Sat ""Hi""",79,32.8622708,35.1223181
1600,Nahariyya,North!,79,32.621368,35.294197
1500,Acre,,86,32.621368,35.294197
1840,Karmiel,,12,32.8622708,35.1223181
1820,Ahihud,,33,32.8622708,35.1223181
1400,Kiryat Motzkin,,39,32.621368,35.294197
2200,Haifa-Bat Gallim,,5,32.8622708,35.1223181
700,Kiryat Hayyim,,41,#N/A,#N/A
2100,Haifa Center,,46,32.8622708,35.1223181
1300,Hutsot HaMifrats,,13,32.621368,35.294197
1220,HaMifrats Central Station,,40,#N/A,#N/A
2300,Haifa H.HaKarmell,,39,32.8622708,35.1223181
2500,Atlit,,27,32.8622708,35.1223181
1240,YOKNE'AM-KFAR YEHOSHU'A,,61,#N/A,#N/A
1250,MIGDAL HA'EMEK-KFAR BARUKH,,1,#N/A,#N/A
1260,Afula R.Eitan,,25,32.621368,35.294197
1280,BEIT SHE'AN,,89,32.621368,35.294197
2800,Binyamina,,33,32.8622708,35.1223181
2820,"Caesarea P,h",,94,32.8622708,35.1223181
3100,Hadera- West,,62,32.8622708,35.1223181
3300,Netanya,,2,32.8622708,35.1223181
3310,NETANYA-SAPIR,,79,32.8622708,35.1223181
3400,Bet Yehoshu''a,,43,32.8622708,35.1223181
9200,H.Sharon Sokolov,,40,32.681534,35.124919
8700,Kfar Sava-Nordau,,94,32.1120646,34.90129706
3500,Hertsliyya,,65,32.8622708,35.1223181
8800,Rosh Ha''ayin North,,16,#N/A,#N/A
4250,Petah Tikva-Sgulla,,40,31.7881805,35.2024441
4170,P.T. Kiryat Arye,,38,31.7881805,35.2024441
3600,"Tel Aviv University T""U",,39,32.8622708,35.1223181
4100,Bne Brak,,12,31.7881805,35.2024441
3700,Tel Aviv-Center,,1,32.8622708,35.1223181
4600,Tel Aviv - HaShalom,,79,31.7881805,35.2024441
4640,Holon Junction,,29,31.7881805,35.2024441
4660,Holon Wolfson,,28,31.7881805,35.2024441
4680,Bat Yam-Yoseftal,,96,31.7881805,35.2024441
4690,Bat.Y-Komemiyyut,,80,31.7881805,35.2024441
8600,Ben Gurion Airport,,32,32.1120646,34.90129706
4800,Kfar Habbad,,62,32.1120646,34.90129706
9800,R.Moshe-Dayan,,95,32.681534,35.124919
5150,Lod-Ganne Aviv,,5,32.1120646,34.90129706
9100,R.HaRishonim,,36,32.681534,35.124919
5000,Lod,,43,32.1120646,34.90129706
5300,Be''er Ya''akov,,41,32.1120646,34.90129706
5010,Ramla,,83,32.1120646,34.90129706
5200,Rehovot,,49,32.1120646,34.90129706
400,"Modi'in-Center M""C",,35,#N/A,#N/A
300,Pa'ate Modi'in,,90,#N/A,#N/A
9000,Yavne West,,21,32.681534,35.124919
6900,Mazkeret Batya,,63,32.1120646,34.90129706
680,Jerusalem - Yitzhak Navon,,1,#N/A,#N/A
5800,Ashdod- Ad Halom,,72,32.1120646,34.90129706
6300,Bet Shemesh,,97,32.1120646,34.90129706
6150,Kiryat Malakhi – Yoav,,51,32.1120646,34.90129706
6700,Jerusalem - Malha,,72,32.1120646,34.90129706
6500,Jerusalem-Biblical Zoo,,93,32.1120646,34.90129706
5900,Ashkelon,,88,32.1120646,34.90129706
7000,Kiryat Gat,,4,32.1120646,34.90129706
9600,Sderot,,33,32.681534,35.124919
9650,Netivot,,0,32.681534,35.124919
8550,Lehavim-Rahat,,27,32.1120646,34.90129706
9700,Ofakim,,70,32.681534,35.124919
7300,B.S. North,,57,32.1120646,34.90129706
7320,Beer Sheva- Center,,2,32.1120646,34.90129706
7500,Dimona,,52,32.1120646,34.90129706
