Code,NameEnglish,NameHebrew
3700,Tel Aviv-Center,"ת""א סבידור מרכז"
3500,Hertsliyya,הרצלייה
3400,Bet Yehoshu''a,בית-יהושע
3300,Netanya,נתניה
3100,Hadera- West,חדרה מערב
2800,Binyamina,בנימינה
2820,"Caesarea P,h",קיסריה פרדס-חנה
2500,Atlit,עתלית
2200,Haifa-Bat Gallim,חיפה בת-גלים
1300,Hutsot HaMifrats,חוצות המפרץ
700,Kiryat Hayyim,קריית חיים
1400,Kiryat Motzkin,קריית מוצקין
1500,Acre,עכו
2300,Haifa H.HaKarmell,חיפה בחוף-הכרמל
8700,Kfar Sava-Nordau,כפר-סבא נורדאו
1600,Nahariyya,נהרייה
6500,Jerusalem-Biblical Zoo,ירושלים - גן החיות התנכי
6300,Bet Shemesh,בית-שמש
7000,Kiryat Gat,קריית-גת
5000,Lod,לוד
7300,B.S. North,באר-שבע צפון
4800,Kfar Habbad,"כפר חב""ד"
4600,Tel Aviv - HaShalom,"ת""א השלום"
2100,Haifa Center,חיפה מרכז השמונה
5010,Ramla,רמלה
8800,Rosh Ha''ayin North,ראש-העין צפון
5300,Be''er Ya''akov,באר-יעקב
5200,Rehovot,רחובות
5400,Yavne East,יבנה מזרח
9100,R.HaRishonim,"ראשל""צ הראשונים"
5800,Ashdod- Ad Halom,אשדוד עד-הלום
4250,Petah Tikva-Sgulla,פתח-תקווה סגולה
4100,Bne Brak,בני ברק
3600,"Tel Aviv University T""U","ת""א אוניברסיטה"
7320,Beer Sheva- Center,באר-שבע מרכז
1220,HaMifrats Central Station,מרכזית המפרץ
4620,Tel Aviv HaHagana,"ת""א ההגנה"
8600,Ben Gurion Airport,"נתב""ג"
6700,Jerusalem - Malha,ירושלים - מלחה
5900,Ashkelon,אשקלון
7500,Dimona,דימונה
9200,H.Sharon Sokolov,הוד-השרון סוקולוב
4170,P.T. Kiryat Arye,קריית אריה
5150,Lod-Ganne Aviv,לוד גני-אביב
8550,Lehavim-Rahat,להבים רהט
300,Pa'ate Modi'in,פאתי מודיעין
400,"Modi'in-Center M""C",מודיעין מרכז
4640,Holon Junction,צומת חולון
4660,Holon Wolfson,חולון וולפסון
4680,Bat Yam-Yoseftal,בת-ים יוספטל
4690,Bat.Y-Komemiyyut,בת-ים קוממיות
9800,R.Moshe-Dayan,"ראשל""צ משה-דיין"
9000,Yavne West,יבנה מערב
9600,Sderot,שדרות
9650,Netivot,נתיבות
9700,Ofakim,אופקים
3310,NETANYA-SAPIR,נתניה ספיר
1240,YOKNE'AM-KFAR YEHOSHU'A,יקנעם כפר-יהושע
1250,MIGDAL HA'EMEK-KFAR BARUKH,מגדל-העמק כפר-ברוך
1260,Afula R.Eitan,עפולה ר.איתן
1280,BEIT SHE'AN,בית שאן
1820,Ahihud,אחיהוד
1840,Karmiel,כרמיאל
2940,Ra'anana West,רעננה מערב
2960,Ra'anana South,רעננה דרום
6150,Kiryat Malakhi – Yoav,קרית מלאכי - יואב
680,Jerusalem - Yitzhak Navon,ירושלים - יצחק נבון
6900,Mazkeret Batya,מזכרת בתיה
