id,user,user_url,time,url,text,a_id,a_user,a_user_url,a_time,a_url,a_text,att_type,att_url,media_url,ext_url,ext_text,comment_count,toplevel_comment_count,reaction_count,share_count,reactors,like,love,anger,haha,support,sorry,wow
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTYwODE1MDEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-23 13:31:24,https://www.facebook.com/borisjohnson/posts/10158316081501317,"This is a landmark achievement by the team at University of Oxford who developed the COVID-19 vaccine.
 
Malaria kills hundreds of thousands of children a year. An effective vaccine holds out the possibility of ending this global tragedy.

https://www.bbc.co.uk/news/health-56858158",-,-,-,,-,-,Share,-,-,https://www.bbc.co.uk/news/health-56858158,Malaria vaccine hailed as potential breakthrough,2701,1097,14991,1405,14991,12720,1887,24.0,99.0,78.0,3.0,180.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTU5MDU4NjEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-23 11:37:59,https://www.facebook.com/borisjohnson/posts/10158315905861317,"I welcome the Court of Appeal's decision to overturn the convictions of 39 former sub-postmasters in the Horizon dispute, an appalling injustice which has had a devastating impact on these families for years.

Lessons should and will be learnt to ensure this never happens again.",-,-,-,,-,-,-,-,-,-,-,1226,811,7849,306,7849,7555,188,19.0,16.0,54.0,9.0,8.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTU2NjczNjYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-23 08:10:38,https://www.facebook.com/borisjohnson/posts/10158315667366317,Happy St. George's Day! 🏴󠁧󠁢󠁥󠁮󠁧󠁿,-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/790114538595874/,-,-,-,3354,2113,23765,5954,23765,19682,3805,22.0,118.0,126.0,0.0,12.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTQ1MTY1ODEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-22 18:19:36,https://www.facebook.com/borisjohnson/posts/10158314516581317,"The world’s tropical forests are the lungs of our planet and yet we’re losing these great, teeming ecosystems at an unconscionable rate. 
 
I’m pleased the UK is joining this hugely exciting coalition to protect our tropical forests and tackle climate change.",UzpfSTczMDMzNDM0NTI6MTAxNTk1MzI1MDQ2OTg0NTM=,UK Prime Minister,https://www.facebook.com/10downingstreet/,2021-04-22 17:43:26,https://www.facebook.com/10downingstreet/posts/10159532504698453,"The UK is proud to join our partners in the new $1bn #LEAFCoalition to stop deforestation, cut global emissions and put nature on the path of recovery.

➡️ http://www.leafcoalition.org/
 
#LeadersClimateSummit #earthday",-,-,-,-,-,1853,1087,3854,218,3854,3185,409,60.0,144.0,45.0,4.0,7.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTQzOTI1MjYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-22 17:04:29,https://www.facebook.com/borisjohnson/posts/10158314392526317,"Our shared duty is to honour and remember all those, wherever they lived and whatever their background, who laid down their lives for our freedoms at the moment of greatest peril.

My statement on the Commonwealth War Graves Commission report.",-,-,-,,-,-,Photo,-,https://www.facebook.com/borisjohnson/photos/a.238842266316/10158314388861317/,-,-,1319,754,6804,448,6804,5789,792,25.0,32.0,140.0,15.0,11.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTQxMDMxOTEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-22 14:11:58,https://www.facebook.com/borisjohnson/posts/10158314103191317,"Let’s make this decade the moment of decisive change in the fight against climate change.
 
My statement at the Leaders Summit on Climate convened by President Joe Biden: https://www.gov.uk/government/speeches/pm-statement-at-the-leaders-summit-on-climate-22-april-2021",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/306424917748624/,-,-,-,2103,1479,4449,402,4449,3411,349,161.0,461.0,48.0,7.0,12.0
UzpfSTc5NzI5OTEzMTY6Nzc1NzgyMDc5NzkwMTk5,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-22 12:28:43,https://www.facebook.com/borisjohnson/videos/775782079790199/,WATCH LIVE: My statement at the Leaders Summit on Climate,-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/775782079790199/,-,-,-,1205,937,1816,188,1816,1178,325,196.0,81.0,25.0,8.0,3.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTI2MzQ0NTEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-21 19:34:30,https://www.facebook.com/borisjohnson/posts/10158312634451317,"We've reached a significant milestone with 1 in 5 adults now having had two COVID-19 vaccine doses. This is a huge UK-wide effort that has already saved thousands of lives. 

Thank you to everyone involved.",-,-,-,,-,-,Photo,-,https://www.facebook.com/borisjohnson/photos/a.238842266316/10158312626331317/,-,-,1617,715,12113,536,12113,10582,1227,44.0,134.0,79.0,17.0,30.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTE0MTA2NzEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-21 06:26:17,https://www.facebook.com/borisjohnson/posts/10158311410671317,"I would like to send my warm wishes to Her Majesty The Queen on her 95th birthday.

I have always had the highest admiration for Her Majesty and her service to this country and the Commonwealth.

I am proud to serve as her Prime Minister.",-,-,-,,-,-,-,-,-,-,-,2586,1807,58597,1373,58597,45526,12179,10.0,77.0,785.0,6.0,14.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgzMTEzMjMzMjYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-04-21 05:34:15,https://www.facebook.com/borisjohnson/posts/10158311323326317,"I welcome last night’s announcement. This is the right result for football fans, clubs, and communities across the country. We must continue to protect our cherished national game.",-,-,-,,-,-,-,-,-,-,-,2319,1174,15691,505,15691,14148,1279,33.0,164.0,52.0,5.0,10.0
